"","pearson","gene","cluster"
"9",0.96,"BOLL",1
"20",0.96,"CGB8",1
"44",0.96,"GJD4",1
"57",0.96,"KCNMB2-AS1",1
"79",0.96,"PCSK9",1
"86",0.96,"PTCRA",1
"90",0.96,"RFX8",1
"100",0.96,"SFRP4",1
"108",0.96,"STPG2-AS1",1
"109",0.96,"SYT2",1
"116",0.96,"TTC29",1
"39",0.95,"FCGR2B",1
"93",0.95,"RHPN1-AS1",1
"106",0.95,"SSTR5-AS1",1
"99",0.93,"SERPINA3",1
"4",0.92,"ASCL4",1
"67",0.91,"MGP",1
"73",0.91,"NEURL2",1
"32",0.9,"EDNRA",1
"16",0.89,"CEACAM4",1
"85",0.87,"PSCA",1
"105",0.87,"SPINK2",1
"37",0.86,"FCER1A",1
"77",0.86,"OMD",1
"95",0.85,"S100B",1
"21",0.84,"CLDN10",1
"74",0.84,"NFIX",1
"50",0.83,"HLA-DQA1",1
"76",0.83,"OBSCN",1
"88",0.83,"RARRES1",1
"68",0.82,"MIP",1
"19",0.81,"CGB3",1
"61",0.81,"L3MBTL4-AS1",1
"82",0.81,"PLEK2",1
"15",0.8,"CDKN3",1
"60",0.8,"KRTAP12-1",1
"69",0.8,"MUC19",1
"22",0.79,"CLEC3B",1
"110",0.79,"TG",1
"59",0.78,"KIF4A",1
"62",0.78,"LAP3",1
"11",0.77,"C1orf122",1
"83",0.77,"PLK1",1
"107",0.77,"STK31",1
"8",0.76,"BHLHE41",1
"42",0.76,"GAPDHS",1
"40",0.74,"FCGR3A",1
"87",0.74,"PYCARD",1
"96",0.73,"SBNO2",1
"71",0.72,"NEK2",1
"53",0.71,"IFIT3",1
"63",0.71,"LINC01607",1
"48",0.69,"HLA-DPA1",1
"94",0.69,"RPA4",1
"97",0.69,"SCN4B",1
"24",0.68,"CLEC4E",1
"65",0.68,"LPCAT2",1
"28",0.67,"CYP1B1",1
"41",0.66,"FUOM",1
"45",0.66,"GPC5-AS1",1
"47",0.66,"HLA-DMA",1
"101",0.66,"SLC6A3",1
"1",0.65,"ADGRL4",1
"25",0.65,"CMTM2",1
"49",0.65,"HLA-DPB1",1
"75",0.65,"OAS1",1
"27",0.64,"CXCR3",1
"33",0.64,"EDNRB",1
"34",0.64,"EFNA2",1
"51",0.64,"HLA-DQB1",1
"84",0.64,"PON3",1
"91",0.64,"RGS1",1
"5",0.63,"AURKA",1
"30",0.63,"DDC",1
"31",0.62,"DHRS9",1
"58",0.62,"KIF14",1
"117",0.62,"ZNF804A",1
"6",0.61,"B4GALT1-AS1",1
"18",0.61,"CEP55",1
"78",0.61,"PCAT18",1
"80",0.61,"PDLIM3",1
"3",0.6,"APOBEC3D",1
"36",0.6,"FAM20C",1
"113",0.6,"TMEM176B",1
"14",0.59,"CDC20",1
"23",0.59,"CLEC4A",1
"35",0.59,"EVI2A",1
"38",0.59,"FCGBP",1
"55",0.59,"IL10",1
"56",0.59,"ITGB2",1
"64",0.59,"LINC02076",1
"103",0.59,"SOX2",1
"112",0.59,"TIGD5",1
"115",0.59,"TNKS2-AS1",1
"12",0.58,"C1orf162",1
"52",0.58,"HMMR",1
"46",0.57,"H2BC12",1
"81",0.57,"PILRA",1
"89",0.57,"RBP7",1
"66",0.55,"METRNL",1
"92",0.55,"RGS2",1
"111",0.55,"TGM2",1
"29",0.53,"DCN",1
"10",0.51,"C11orf21",1
"13",0.5,"CCR5",1
"17",0.5,"CEMIP",1
"72",0.49,"NELL1",1
"102",0.49,"SMCR5",1
"114",0.49,"TNFRSF8",1
"70",0.48,"MYO1G",1
"43",0.47,"GIMAP4",1
"2",0.46,"AIM2",1
"54",0.44,"IFITM2",1
"104",0.44,"SPARC",1
"7",0.43,"BATF3",1
"26",0.43,"COL4A1",1
"98",0.43,"SERPINA1",1
"210",0.95,"ABHD17C",2
"1091",0.94,"OVOL3",2
"610",0.93,"ARHGAP11A",2
"641",0.93,"GNG12-AS1",2
"811",0.93,"KRTAP4-9",2
"821",0.93,"LBX2",2
"851",0.93,"LINC00463",2
"881",0.93,"LRRC26",2
"121",0.93,"PRR7-AS1",2
"1310",0.92,"BTNL8",2
"831",0.92,"LHX2",2
"131",0.92,"SH3BP5",2
"151",0.91,"C8orf34",2
"301",0.91,"CDH26",2
"451",0.91,"CXCL5",2
"1111",0.91,"PAPPA2",2
"841",0.9,"LIN28B",2
"1101",0.9,"PANX2",2
"651",0.89,"GSN-AS1",2
"211",0.88,"CCNB1",2
"731",0.88,"INHBB",2
"791",0.88,"KNL1",2
"1061",0.88,"NUMBL",2
"120",0.88,"PRPH",2
"127",0.88,"RFC3",2
"132",0.88,"SLCO2A1",2
"521",0.87,"EMX2",2
"591",0.87,"FPR2",2
"781",0.87,"KIF2C",2
"981",0.87,"MMRN1",2
"810",0.86,"ARHGAP19",2
"401",0.85,"CLDN5",2
"421",0.85,"CRISP3",2
"501",0.85,"ECSCR",2
"721",0.85,"INCENP",2
"136",0.85,"STMN2",2
"1071",0.84,"ONECUT2",2
"311",0.83,"CDX1",2
"331",0.83,"CENPE",2
"541",0.83,"ESPL1",2
"751",0.83,"KCNK17",2
"118",0.82,"PRC1",2
"142",0.82,"TOP2A",2
"431",0.81,"CRNDE",2
"661",0.81,"H1-5",2
"310",0.8,"ADGRF3",2
"221",0.8,"CCR1",2
"1171",0.8,"PPP1R16B",2
"910",0.79,"ARL6IP1",2
"871",0.79,"LPL",2
"119",0.79,"PRDM1",2
"1010",0.78,"ART3",2
"1051",0.78,"NUF2",2
"1161",0.78,"POC1A",2
"631",0.77,"GMNN",2
"771",0.77,"KIF15",2
"149",0.76,"BUB1B",2
"281",0.76,"CDCA2",2
"391",0.76,"CKS1B",2
"861",0.76,"LINC00607",2
"1021",0.76,"NCAPG",2
"1141",0.76,"PGLYRP1",2
"1151",0.76,"PLVAP",2
"241",0.75,"CD1A",2
"271",0.75,"CDA",2
"351",0.75,"CENPJ",2
"551",0.75,"FABP4",2
"461",0.74,"CYB561",2
"181",0.73,"CAPG",2
"621",0.73,"GASK1A",2
"1011",0.73,"MYO10",2
"291",0.72,"CDCA7L",2
"146",0.72,"TUBA1B",2
"148",0.72,"UBE2T",2
"161",0.71,"C9orf135",2
"531",0.71,"ESAM",2
"761",0.71,"KIF11",2
"941",0.71,"MELK",2
"1121",0.71,"PDLIM1",2
"125",0.71,"RAD51AP1",2
"139",0.71,"TK1",2
"145",0.71,"TTC9",2
"511",0.7,"ECT2",2
"144",0.7,"TROAP",2
"321",0.69,"CENPA",2
"341",0.69,"CENPF",2
"481",0.69,"DEPDC1",2
"491",0.69,"DSG3",2
"1031",0.69,"NCAPH",2
"1081",0.69,"OTOA",2
"124",0.69,"RACGAP1",2
"126",0.69,"RAMP2",2
"147",0.69,"UBE2C",2
"410",0.68,"APLNR",2
"261",0.68,"CD1E",2
"471",0.68,"CYP2S1",2
"701",0.68,"IL17RD",2
"961",0.68,"MKI67",2
"150",0.67,"ABCC12",2
"133",0.67,"SPAG5",2
"571",0.66,"FANCB",2
"122",0.66,"PTAFR",2
"138",0.66,"TESMIN",2
"671",0.65,"H2BC13",2
"991",0.65,"MPPED2",2
"611",0.64,"GAS1",2
"711",0.64,"IL1R2",2
"201",0.63,"CCDC88A",2
"381",0.63,"CKAP5",2
"931",0.63,"MCEMP1",2
"129",0.63,"SCIMP",2
"441",0.62,"CRYBB1",2
"561",0.62,"FAM83D",2
"581",0.62,"FMO1",2
"510",0.61,"APOLD1",2
"601",0.61,"GAL",2
"134",0.61,"SRSF8",2
"361",0.6,"CFH",2
"741",0.6,"JPT1",2
"130",0.6,"SERPINF1",2
"710",0.59,"ARHGAP18",2
"1210",0.59,"ASPM",2
"251",0.59,"CD1D",2
"971",0.59,"MMP9",2
"1001",0.59,"MXD3",2
"143",0.59,"TPPP3",2
"921",0.58,"MCAM",2
"137",0.58,"SULT1B1",2
"123",0.57,"PTTG1",2
"891",0.56,"LYL1",2
"231",0.55,"CD19",2
"135",0.55,"SSH1",2
"1110",0.54,"ASCL1",2
"140",0.53,"TLR7",2
"141",0.53,"TNFAIP8L2",2
"411",0.52,"COL5A2",2
"681",0.52,"HCST",2
"901",0.52,"MAD2L1",2
"691",0.51,"HYAL2",2
"951",0.51,"MIAT",2
"191",0.5,"CARD16",2
"911",0.5,"MAP1B",2
"1041",0.5,"NENF",2
"171",0.49,"CA2",2
"1131",0.45,"PEG10",2
"371",0.44,"CKAP2",2
"801",0.43,"KPNA2",2
"128",0.42,"RGS19",2
"312",0.96,"ADAMTSL5",3
"152",0.96,"BRDTP1",3
"212",0.96,"CCL21",3
"422",0.96,"ERICH6B",3
"462",0.96,"GBP6",3
"472",0.96,"GJA4",3
"572",0.96,"LIN28B-AS1",3
"592",0.96,"LINC00911",3
"602",0.96,"LINC01104",3
"932",0.96,"RGR",3
"1072",0.96,"SORCS3-AS1",3
"1181",0.96,"TSSC2",3
"192",0.95,"CARNMT1",3
"522",0.94,"HBD",3
"153",0.93,"ACTA1",3
"202",0.92,"CAVIN2",3
"872",0.92,"PROC",3
"982",0.92,"SAA1",3
"512",0.91,"HBBP1",3
"652",0.91,"MAP7D2",3
"172",0.9,"CACNA1C-IT3",3
"1012",0.89,"ARHGAP26-AS1",3
"612",0.89,"LMX1A",3
"1013",0.89,"SERPINB2",3
"672",0.85,"MICAL2",3
"582",0.84,"LINC00396",3
"682",0.84,"MMP19",3
"742",0.84,"NHLH2",3
"492",0.83,"GRIK1",3
"962",0.83,"RNASEH2A",3
"712",0.82,"MSX2P1",3
"772",0.82,"OPCML",3
"382",0.81,"DTYMK",3
"442",0.81,"FOXP2",3
"1112",0.81,"TEX15",3
"412",0.8,"ANGPT1",3
"352",0.8,"DLEU7-AS1",3
"362",0.8,"DNAH8",3
"162",0.79,"C8orf37-AS1",3
"662",0.79,"MBNL3",3
"1132",0.79,"THSD7A",3
"562",0.78,"IL1RL1",3
"792",0.78,"PIK3R5",3
"992",0.78,"SCARNA9L",3
"613",0.77,"ANKRD1",3
"513",0.76,"ANGPT2",3
"282",0.76,"CETP",3
"892",0.76,"PRSS57",3
"1062",0.76,"SMIM1",3
"1113",0.75,"ASPN",3
"232",0.75,"CD34",3
"922",0.75,"RAMP3",3
"942",0.75,"RHAG",3
"1142",0.75,"TIMP3",3
"182",0.74,"CAPSL",3
"332",0.74,"CXCL12",3
"262",0.73,"CENPU",3
"752",0.73,"NUDT1",3
"1052",0.73,"SMC2",3
"1152",0.73,"TMPRSS13",3
"292",0.71,"CLEC4F",3
"1191",0.71,"VNN1",3
"692",0.7,"MND1",3
"882",0.7,"PRSS12",3
"1122",0.7,"TFPI",3
"1172",0.7,"TPX2",3
"222",0.69,"CCL23",3
"313",0.69,"CORO2A",3
"392",0.69,"E2F7",3
"432",0.69,"FABP3",3
"732",0.69,"NCAPD2",3
"912",0.69,"RAB3B",3
"1032",0.69,"SLAMF9",3
"702",0.68,"MNS1",3
"802",0.68,"PKIB",3
"532",0.67,"HMGA1",3
"1162",0.67,"TNIP3",3
"252",0.66,"CDCA8",3
"542",0.66,"HMGA2",3
"952",0.66,"RILPL2",3
"913",0.65,"AQP1",3
"372",0.65,"DRC7",3
"482",0.65,"GNB3",3
"842",0.65,"PPM1J",3
"1002",0.65,"SELENBP1",3
"762",0.64,"OGN",3
"1102",0.64,"TAC4",3
"622",0.63,"LRRC32",3
"302",0.62,"CLSPN",3
"502",0.62,"H2AZ1",3
"552",0.62,"HMGB3",3
"322",0.61,"CP",3
"272",0.6,"CENPW",3
"452",0.6,"GATA2",3
"832",0.6,"POLR1F",3
"1201",0.6,"ZNF791",3
"812",0.59,"PLD4",3
"972",0.59,"RTP4",3
"242",0.58,"CDCA3",3
"822",0.58,"PLEKHH2",3
"213",0.57,"ACY3",3
"413",0.57,"ELF3",3
"902",0.57,"RAB37",3
"1082",0.57,"SP2-AS1",3
"642",0.56,"MACC1",3
"722",0.55,"MYF6",3
"852",0.55,"PPP1R14A",3
"402",0.54,"EGR2",3
"1211",0.53,"BABAM2-AS1",3
"1311",0.52,"BIRC5",3
"632",0.51,"LXN",3
"813",0.5,"ANXA2R",3
"1410",0.5,"BRCA2",3
"862",0.5,"PRDX4",3
"1092",0.5,"SULF1",3
"782",0.48,"PIF1",3
"713",0.47,"ANKRD50",3
"342",0.47,"CXCR2P1",3
"1042",0.44,"SLC25A45",3
"1022",0.42,"SGO2",3
"414",0.96,"ATP6V1B1",4
"353",0.96,"FLACC1",4
"523",0.96,"KRTDAP",4
"753",0.96,"PITRM1-AS1",4
"883",0.96,"SIAH3",4
"933",0.96,"SOX17",4
"1003",0.96,"TRIM55",4
"263",0.95,"CYP2B7P",4
"415",0.95,"GPR6",4
"1063",0.95,"ZNF385B",4
"714",0.94,"OLIG2",4
"614",0.93,"BDNF",4
"303",0.92,"FAM181A-AS1",4
"703",0.92,"NKPD1",4
"223",0.91,"CDR1",4
"633",0.91,"MFGE8",4
"723",0.9,"PCDH19",4
"843",0.89,"RPL13P5",4
"1033",0.89,"VSTM2A",4
"533",0.88,"LAMP3",4
"923",0.88,"SORCS2",4
"1114",0.86,"CADM2",4
"333",0.86,"FCRLA",4
"473",0.86,"INSM2",4
"663",0.86,"MPIG6B",4
"154",0.85,"CAV1",4
"543",0.83,"LDLRAD2",4
"563",0.82,"LINC00853",4
"1023",0.82,"VPREB3",4
"273",0.81,"DEPDC7",4
"483",0.81,"IRF1",4
"914",0.8,"SLFN14",4
"953",0.8,"SSUH2",4
"163",0.79,"CBLN2",4
"693",0.76,"NIBAN3",4
"673",0.75,"MS4A2",4
"993",0.75,"TMEM86B",4
"1312",0.74,"CALB2",4
"233",0.74,"CEBPA",4
"1053",0.74,"ZBTB20-AS4",4
"1212",0.73,"CAGE1",4
"853",0.73,"RTN4RL1",4
"603",0.72,"LSP1",4
"155",0.71,"AATBC",4
"814",0.71,"RASGRF1",4
"943",0.71,"SOX18",4
"373",0.7,"GAP43",4
"573",0.7,"LINC00977",4
"1043",0.7,"WFDC21P",4
"403",0.69,"GNG3",4
"453",0.69,"HS3ST1",4
"583",0.69,"LINC01506",4
"763",0.69,"PMAIP1",4
"1014",0.69,"TUBB6",4
"815",0.68,"C21orf62",4
"173",0.68,"CCDC17",4
"1411",0.67,"CALY",4
"323",0.67,"FCER2",4
"503",0.66,"JAML",4
"833",0.66,"RPGR",4
"963",0.66,"TAGLN",4
"983",0.66,"TMCC2",4
"803",0.65,"PSRC1",4
"1015",0.64,"CAD",4
"553",0.64,"LGALS3",4
"773",0.64,"POU1F1",4
"915",0.63,"C9orf47",4
"363",0.63,"FYB2",4
"683",0.63,"MZB1",4
"793",0.63,"PPP2R2B",4
"823",0.63,"RBP4",4
"715",0.62,"C1QTNF3",4
"433",0.62,"H2BC9",4
"243",0.61,"CFAP65",4
"293",0.61,"ENOX1",4
"593",0.61,"LIX1",4
"214",0.6,"ALDH1A2",4
"623",0.6,"MESP1",4
"783",0.6,"PPP1R27",4
"903",0.6,"SLC16A12",4
"314",0.59,"ARPP21",4
"203",0.59,"CD84",4
"215",0.59,"CDC42EP3",4
"743",0.59,"PELATON",4
"283",0.58,"DEUP1",4
"443",0.58,"HCAR3",4
"615",0.58,"MADCAM1",4
"315",0.57,"FAM24B",4
"393",0.56,"GJB7",4
"863",0.56,"SCAMP5",4
"873",0.56,"SGCG",4
"893",0.56,"SLAMF8",4
"514",0.55,"KIF21B",4
"193",0.54,"CD79B",4
"423",0.52,"GPR65",4
"253",0.51,"CRYBG3",4
"463",0.51,"IL12B",4
"653",0.5,"MITF",4
"383",0.49,"GBP2",4
"515",0.46,"B3GNT2",4
"493",0.46,"ITGB2-AS1",4
"343",0.43,"FGR",4
"643",0.38,"MIS18BP1",4
"973",0.38,"TDRD9",4
"183",0.36,"CD4",4
"733",0.34,"PECAM1",4
"416",0.98,"ALOX12B",5
"304",0.98,"CGB7",5
"474",0.98,"DLX6",5
"574",0.98,"FAM95A",5
"894",0.98,"LINC00930",5
"904",0.98,"LINC01508",5
"974",0.98,"MT3",5
"1221",0.98,"POM121L8P",5
"1281",0.98,"RGS4",5
"284",0.97,"CEACAM6",5
"434",0.97,"DEFA4",5
"734",0.97,"HILPDA",5
"816",0.97,"KLHL41",5
"944",0.97,"MPO",5
"954",0.97,"MS4A3",5
"1321",0.97,"SELENOV",5
"554",0.96,"EPHA5",5
"1271",0.96,"RBMS3-AS3",5
"716",0.95,"ANGPTL4",5
"244",0.95,"CATSPER3",5
"294",0.95,"CEACAM8",5
"1313",0.95,"SCARNA10",5
"164",0.94,"AZU1",5
"1133",0.94,"PADI2",5
"1261",0.94,"RAB42P1",5
"884",0.93,"LINC00637",5
"224",0.92,"CA12",5
"454",0.92,"DLX1",5
"564",0.92,"F3",5
"1083",0.92,"NRTN",5
"364",0.91,"COX6A2",5
"1093",0.91,"NUDT4",5
"1213",0.91,"PLP1",5
"1361",0.9,"SLC2A1",5
"1371",0.9,"SLC2A5",5
"1501",0.9,"TRIM10",5
"516",0.89,"ALOX15",5
"764",0.89,"IGFBP3",5
"534",0.88,"ELANE",5
"1034",0.88,"NGFR",5
"494",0.87,"ECEL1",5
"934",0.87,"MEPE",5
"984",0.87,"MYB",5
"794",0.86,"KCNK3",5
"354",0.84,"COL20A1",5
"704",0.84,"H2AC12",5
"724",0.84,"HAMP",5
"844",0.84,"LEFTY2",5
"994",0.84,"MYH15",5
"1182",0.84,"PLA2G7",5
"1231",0.84,"PTGDS",5
"1611",0.84,"WFIKKN2",5
"316",0.83,"ADM",5
"504",0.83,"EDN2",5
"774",0.83,"IGFBP5",5
"204",0.82,"BPI",5
"324",0.82,"CLIC2",5
"674",0.82,"GOLPH3L",5
"864",0.82,"LILRB5",5
"644",0.81,"GJA1",5
"1331",0.81,"SLC11A1",5
"194",0.8,"BMP8A",5
"824",0.8,"L1TD1",5
"916",0.8,"LTF",5
"157",0.8,"VSIR",5
"917",0.79,"ANXA3",5
"1202",0.78,"PLIN2",5
"1251",0.78,"PTPRZ1",5
"1341",0.78,"SLC22A4",5
"1531",0.78,"TSPO2",5
"817",0.77,"ANK1",5
"384",0.76,"CSF3R",5
"684",0.76,"GUCA1A",5
"874",0.76,"LINC00461",5
"1391",0.76,"SLIT2",5
"1214",0.75,"AQP4",5
"1412",0.75,"ATAD5",5
"254",0.75,"CCNA2",5
"964",0.75,"MT1E",5
"1551",0.75,"VGF",5
"334",0.74,"CMYA5",5
"444",0.73,"DLGAP4-AS1",5
"634",0.73,"GADD45G",5
"1143",0.73,"PART1",5
"158",0.73,"VTRNA1-3",5
"616",0.72,"ANGPTL1",5
"1123",0.72,"P2RY2",5
"1173",0.72,"PDGFRB",5
"1381",0.72,"SLCO1C1",5
"1413",0.72,"SPTA1",5
"1451",0.72,"THEMIS2",5
"1115",0.71,"APOE",5
"1064",0.71,"NPTX2",5
"1241",0.71,"PTPRN",5
"165",0.7,"ABHD6",5
"234",0.7,"CATSPER1",5
"374",0.7,"CRISP2",5
"584",0.7,"FEV",5
"1044",0.7,"NKAIN3",5
"1401",0.7,"SLPI",5
"1314",0.69,"ARHGAP6",5
"664",0.69,"GNRHR",5
"1116",0.69,"OR7D2",5
"1291",0.69,"RHBDF2",5
"344",0.68,"COL15A1",5
"484",0.68,"DYNC1I1",5
"394",0.67,"CXCL14",5
"464",0.67,"DLX2",5
"784",0.67,"IL13RA2",5
"1421",0.67,"SRGN",5
"1016",0.66,"APOC1",5
"174",0.66,"BACE2",5
"404",0.66,"CXXC1",5
"924",0.66,"LY96",5
"1511",0.66,"TSC22D1-AS1",5
"524",0.65,"EGLN3",5
"1481",0.65,"TPD52L1",5
"854",0.64,"LHB",5
"1004",0.63,"NANOS2",5
"1054",0.63,"NPL",5
"1073",0.63,"NPW",5
"624",0.62,"GAD1",5
"1017",0.62,"NCAN",5
"1153",0.62,"PCOLCE2",5
"1431",0.62,"TEX14",5
"1441",0.62,"TFRC",5
"1461",0.62,"TNFSF13B",5
"544",0.61,"ENTPD1-AS1",5
"717",0.61,"H2AC20",5
"1521",0.61,"TSPAN16",5
"317",0.6,"CLEC5A",5
"417",0.59,"CYTOR",5
"517",0.59,"EGFL7",5
"604",0.59,"FOXK1",5
"617",0.59,"FSHB",5
"744",0.58,"HJURP",5
"1103",0.58,"ODF3B",5
"156",0.58,"VMO1",5
"216",0.57,"ACKR1",5
"834",0.57,"LARP1B",5
"654",0.56,"GK",5
"1351",0.55,"SLC25A37",5
"264",0.54,"CD86",5
"594",0.54,"FOXC1",5
"804",0.54,"KIF20A",5
"1192",0.54,"PLD3",5
"1510",0.53,"ATP5MGL",5
"274",0.53,"CEACAM3",5
"424",0.53,"DCX",5
"1163",0.53,"PCSK1",5
"159",0.52,"WARS1",5
"217",0.5,"BST1",5
"1301",0.5,"S100A8",5
"160",0.5,"WFDC2",5
"184",0.49,"BASP1",5
"694",0.49,"H1-3",5
"754",0.48,"IFIT1",5
"1024",0.47,"NEAT1",5
"1471",0.46,"TNNI2",5
"1541",0.46,"TUBB2B",5
"1491",0.45,"TREM2",5
"285",0.96,"CEBPB-AS1",6
"735",0.96,"HBE1",6
"785",0.96,"IL33",6
"218",0.94,"ADAMTSL3",6
"485",0.94,"CTSE",6
"505",0.94,"DCT",6
"855",0.94,"LINC00668",6
"865",0.94,"LINC02872",6
"885",0.94,"MYOZ2",6
"1392",0.94,"TAS2R30",6
"1502",0.94,"UNC5CL",6
"345",0.93,"CLEC1B",6
"1045",0.93,"PLAC9",6
"1512",0.92,"C1QTNF2",6
"1183",0.92,"RAPGEF5",6
"225",0.91,"CD5L",6
"465",0.91,"CRYGD",6
"1322",0.91,"SEZ6L",6
"425",0.9,"COLEC11",6
"1154",0.9,"PRR15L",6
"1164",0.89,"RAD9B",6
"1462",0.89,"TMSB15A",6
"1571",0.89,"ZNF704",6
"895",0.88,"NES",6
"918",0.87,"NFIB",6
"1104",0.87,"POSTN",6
"525",0.86,"DPYSL3",6
"605",0.86,"FHL2",6
"418",0.85,"ANKRD9",6
"195",0.85,"CCL22",6
"445",0.85,"CR1L",6
"565",0.85,"FAM111B",6
"1315",0.85,"SCT",6
"618",0.84,"APOD",6
"995",0.84,"PCLAF",6
"1402",0.84,"TCF21",6
"745",0.83,"HBZ",6
"818",0.82,"ARHGAP11B",6
"175",0.82,"CAVIN3",6
"365",0.82,"COL13A1",6
"255",0.81,"CDCA5",6
"535",0.81,"E2F2",6
"1117",0.81,"PPFIA2",6
"1342",0.81,"SMIM24",6
"635",0.8,"FRMD3",6
"925",0.8,"NID2",6
"965",0.8,"PADI4",6
"166",0.79,"CA4",6
"305",0.79,"CHST5",6
"619",0.79,"FLRT2",6
"765",0.79,"HHIP",6
"905",0.79,"NFE2",6
"1215",0.79,"RHCE",6
"1432",0.79,"THBS4",6
"518",0.78,"APOBR",6
"185",0.78,"CCDC34",6
"1174",0.78,"RAMP1",6
"275",0.77,"CEACAM1",6
"1414",0.77,"TCIM",6
"575",0.76,"FBLN1",6
"1242",0.76,"RSPO3",6
"718",0.75,"GPX8",6
"1482",0.75,"TTC4",6
"1522",0.75,"USP27X",6
"1581",0.75,"ZNF808",6
"719",0.74,"ARFIP2",6
"219",0.74,"CD1C",6
"375",0.74,"COL14A1",6
"495",0.74,"CYB5D2",6
"625",0.74,"FN1",6
